Recipe_Name,Recipe_Ingredients,Cuisine
Bunny chow,"2 tbsp vegetable oil ½ tsp cumin seeds ½ tsp fennel seeds 2.5cm/1in piece of cinnamon stick 2 green cardamom pods 1 star anise 1 bay leaf 1 onion, finely chopped 2 tbsp South African curry powder  2 tomatoes, chopped 1kg/2lb 2oz boneless leg of lamb, cut into 1.5cm/½in dices 1 tbsp finely chopped fresh ginger 1 tbsp finely chopped garlic  10-12 curry leaves 2 large potatoes, cut in cubes the same size as the meat salt 2 tbsp finely chopped coriander leaves 2 tbsp lime juice 2 loaves of crusty white bread, unsliced, each cut across in half in the middle and most of the crumbs removed  coriander cress or sprigs, to garnish",african
Jollof rice with fried plantains,"1 tbsp olive or vegetable oil 2 large onions, sliced 2 x 400g/14oz cans plum tomatoes 1 red pepper, diced 4 tbsp tomato purée ¼ tsp cayenne pepper or chilli powder 1 tsp curry powder 1 bay leaf sprig fresh thyme 1 stock cube 225g/8oz long-grain or basmati rice salt and freshly ground black pepper 2 plantains, cut into slices and deep fried green leaf salad",african
Jollof rice,"400ml/14fl oz passata 3 tbsp tomato purée 2 fresh red Scotch bonnet chillies, seeds removed 2 onions, chopped 2 red peppers, seeds removed and roughly chopped 8 garlic cloves, peeled 3 tbsp fresh rosemary leaves 1 tbsp fresh thyme leaves 2 tsp ground coriander 1½ tsp sweet smoked paprika 50ml/2fl oz olive oil 150g/5½oz cherry tomatoes, halved 800ml/1½ pints chicken stock or vegetable stock 2 bay leaves 500g/1lb 2oz long-grain rice, rinsed  2 tbsp sunflower oil 2 ripe plantains, peeled and thickly sliced small handful of coriander leaves, roughly chopped sea salt and freshly ground black pepper green salad, to serve",african
Suya fillet burger with sweet potato cubes and watermelon salad,"4g smoked paprika  2g cayenne pepper 6g ginger powder 4g garlic powder 1g ground black pepper 11g onion salt  7g ground turmeric  6g extra hot chilli powder 1g ground uda pods (also known as selim pepper) 1 large egg yolk 4 tsp suya spice (see above) 2 tsp fresh lemon juice 125ml/4fl oz rapeseed oil 1-2 tsp just-boiled water 75g/2½oz peeled and deseeded watermelon, cut into 1cm/½in cubes  75g/2½oz cucumber, cut into 1cm/½in cubes 75g/2½oz feta cheese, cut into 1cm/½in cubes 1 tbsp finely chopped fresh curly leaf parsley large pinch nigella seeds, toasted 200g/7oz purple sweet potato (see tip) 200g/7oz sweet potato vegetable oil, for deep frying 1 medium red onion, cut into rings  2 tbsp olive oil, for frying  1 tsp golden caster sugar 2 x 125g/4½oz beef fillet steaks ½ tsp coarsely ground black pepper  2 white ciabatta rolls, cut in half 2 tbsp ‘suyannaise’ (see above) 1 beef tomato, sliced into rounds 1 Little Gem lettuce, shredded 2 tsp suya spice, plus extra to taste 50g/1¾oz smoke-flavoured vintage cheddar cheese, grated",african
Jollof rice with chicken ,"300g/10½oz basmati rice 1 tbsp vegetable oil 8 boneless, skinless chicken thighs, cut in half 1 onion, roughly chopped 3 garlic cloves, grated 5cm/2 in piece fresh root ginger, peeled and finely grated 1 red chilli, deseeded and finely chopped 1 tsp smoked paprika 2 tbsp tomato purèe 700ml/1¼ pint tomato passata 300ml/10fl oz chicken stock, from a cube 2 red peppers, deseeded and roughly chopped 2 tbsp roughly chopped fresh coriander freshly ground black pepper",african
Red-red stew with spiced plantain,"2 tbsp ground ginger 1 tbsp ground cinnamon 1 tbsp ground nutmeg 1 tbsp cayenne pepper ½ tbsp ground cloves 200g/7oz dried black-eyed beans or 1 x 400g tin black-eyed beans, drained and rinsed 75ml/2½fl oz vegetable oil 2 red onions, finely chopped 2.5cm/1in piece fresh root ginger, finely grated ½ tbsp dried chilli flakes ½ red scotch bonnet chilli, deseeded and diced ½ tsp curry powder ½ tbsp chilli powder 1 x 400g tin chopped tomatoes 4 plum tomatoes, roughly chopped 1 tbsp tomato purée  1 tsp sea salt ½tsp ground black pepper garri, for sprinkling  1 heaped tbsp kelewele dry spice mix, from above 1 small red onion, grated 5cm/2in fresh root ginger, grated pinch sea salt vegetable oil, for deep-frying  4-6 ripe plantains, peeled and cut into chips handful roasted peanuts, crushed handful micro coriander cress 1 red chilli, thinly sliced handful nasturtium flowers and leaves",african
Bobotie,"50ml/2fl oz olive oil 1 onion, chopped 2 garlic cloves, crushed 500g/1lb 2oz lamb mince 1 tbsp hot curry powder 1 lemon, juice and zest only  2 tbsp mango chutney 75g/2½oz sultanas 75g/2½oz toasted almonds 1 slice white bread, soaked in milk for 1 minute then squeezed dry salt and freshly ground black pepper 4 bay leaves 3 free-range eggs 150ml/5fl oz milk rice, cooked according to packet instructions chutneys of your choice  yoghurt",african
South-African bobotie,"butter, for greasing 400ml/14fl oz full-fat milk 50g/1¾oz fresh white breadcrumbs 4 large free-range eggs, beaten 1 tbsp olive oil 1kg/2lb 4oz lamb mince 2 onions, finely chopped 1 bay leaf 2 garlic cloves, crushed 2 tbsp madras curry paste 250ml/9fl oz lamb stock 2 tbsp Worcestershire sauce 2 tbsp mango chutney 50g/1¾oz raisins 50g/1¾oz dried apricots, chopped 1 tbsp cider vinegar",african
Bunny chow,"1 tbsp olive oil 1 onion, thinly sliced 2 garlic cloves, finely chopped 1 green chilli, finely chopped 1 thumb-sized piece fresh ginger root, peeled and finely chopped 15 fresh curry leaves 2 tsp ground cumin 1 tsp fennel seeds 2 tsp ground coriander 1 tsp ground turmeric 2 tsp black mustard seeds 1 tbsp tomato purée 3 plum tomatoes, finely chopped 100g/3½oz tamarind paste 20 raw king prawns, peeled and deveined  salt and freshly ground black pepper  2 small unsliced whole white bread loaves, cut in half and hollowed out 2 tbsp toasted coconut flakes 2 tbsp fried curry leaves 2 tbsp fresh coriander cress 2 tbsp fresh basil cress",african
Zoe’s jollof ,"8 bone-in chicken thighs or drumsticks 1 large onion, roughly chopped 1 Scotch bonnet chilli, de-seeded, finely chopped 1 tbsp fresh or dried thyme leaves 2 tbsp crayfish powder (available from online specialists) 6 Guinea peppers (also known as grains of paradise), crushed 6 large tomatoes, roughly chopped 200g/7oz tomato purée 1 tsp salt 4 tbsp peanut oil or sunflower oil  1 large onion, finely chopped 2 garlic cloves, crushed 1 tsp ground hot chilli powder 300g/10½oz long-grain white rice, washed and drained handful chopped fresh parsley and coriander, to garnish ",african
Zanzibar chicken,"2 tbsp groundnut oil 1 large chicken, jointed into 8 pieces, skin on 2 onions, finely chopped 3 garlic cloves, crushed  2 green chillies, chopped 3 green or red tomatoes, finely chopped ½ tsp ground turmeric ½ tsp cumin seeds ½ tsp coriander seeds 4 green cardamom pods 2 limes, juice only 275ml/½ pint chicken stock 2 x 400ml/14fl oz cans coconut milk 1 bunch basil cooked basmati rice, to serve",african
Vegan chilli with peanut butter cabbage,"3 tbsp olive oil 1 small onion, chopped 2 carrots, diced ½ red pepper, seeds removed and chopped ½ yellow pepper, seeds removed and chopped ½ green pepper, seeds removed and chopped 100g/3½oz green beans, chopped 2 tomatoes, chopped 3–4 chillies, seeds removed and flesh chopped salt and freshly ground black pepper 375g/13oz white cornmeal (mealie meal) ½ small cabbage (or any seasonally vegetable), shredded 1 small onion, chopped 1 tomato, chopped 4 tbsp peanut butter",african
Marinated vegetables,"1 butternut, peeled and sliced 2 large sweet potatoes, peeled and sliced ¼ kabocha pumpkin, peeled and cubed 2 green courgette, cubed 2 yellow courgette, cubed 1 large aubergine, cubed 4 lemons, juice only 50ml/2fl oz balsamic vinegar 1 tsp ginger powder 2 tbsp dark soy sauce olive oil 50g/ 2oz fresh ginger, chopped salt and freshly ground black pepper",african
Chocolate mealie meal pudding,"5 eggs 5 egg yolks 125g/4oz caster sugar 250g/9oz dark cooking chocolate, chopped 250g/9oz unsalted butter, cut into cubes 40g/1½oz mealie meal or maize meal 20g/¾oz flour cocoa powder, for dusting softened butter, for greasing",african
Goat stew,"1kg/2lb 5½oz goat meat cut into 2.5cm/1in pieces salt and freshly ground black pepper  3 tbsp vegetable oil 25g/1oz butter 1 large onion, finely chopped 2 garlic cloves, chopped 4 carrots, finely chopped 2 tsp tomato purée ¼ tsp cloves ¼ tsp ginger powder pinch cayenne pepper 2 tbsp lemon juice 450ml/15fl oz lamb or beef stock 2-3 sprigs fresh thyme 1 bay leaf  salt and freshly ground black pepper 1 medium cabbage, shredded salt 3-4 tbsp (or to taste) peanut butter 200g/7oz millet, cooked according to packet instructions",african
Swahili chicken and papaya salad,"4 chicken breasts, each cut into three long strips 1 tsp crushed black peppercorns pinch of cayenne pepper 1 tsp ground cinnamon 1 tsp ground ginger 1 tsp chilli 1 tsp turmeric 1 tsp coriander seeds 1 tsp ground cumin 1 lime, juice only 2 tbsp olive oil 1 lemon grass stalk  2.5cm/1in fresh ginger, chopped 2 large garlic cloves, crushed 2 shallots, finely chopped 2 red chillies, chopped 1 tsp garam masala 1 tsp ground turmeric 400ml/14fl oz coconut milk 1 tin of chopped tomatoes  1 tbsp of coriander leaves 1 papaya, peeled and sliced lengthways 1 red onion, peeled and sliced 1 lime, juice only  olive oil dash of sweet chilli sauce. rice to serve",african
Cape Malay vegetarian curry,"1 tsp cloves 1 tsp fennel seeds  1 tsp black mustard seeds 4 cardamom pods, seeds only ½ tsp black peppercorns  1 tsp ground cumin 1 dried red chilli  1 tsp coriander seeds 1 tbsp ground turmeric 1 cinnamon stick 1 tsp ground ginger 4 curry leaves handful dried apricots 1 tbsp olive oil 1 red onion, roughly chopped 1 red pepper, seeds removed, roughly chopped 1 yellow pepper, seeds removed, roughly chopped 2 garlic cloves, finely chopped 1 small cauliflower, cut into bite-sized pieces  400g tin chickpeas, drained and rinsed handful green beans, roughly chopped 1 heaped tbsp peach chutney 2 tbsp roughly chopped parsley 320g/11oz long-grain rice, to serve 4 flatbreads, to serve",african
Chicken bastilla with orange salad,"3 tbsp olive oil 4 large onions, sliced 700g/1lb 9oz boneless, skinless chicken thighs or breasts 20g/¾oz fresh coriander, finely chopped 3 garlic cloves, crushed 1 tsp ras el hanout ¼ tsp ground turmeric ¼ tsp ground ginger 1/8 tsp ground black pepper 150ml/5fl oz chicken stock 2 tbsp runny honey 2 tsp ground cinnamon, plus extra for dusting 100g/3½oz blanched almonds 100g/3½oz shelled unsalted pistachio nuts 2 tbsp caster sugar 50g/1¾oz unsalted butter 5 large free-range eggs  325g/11½oz filo pastry sheets 3 lemons, finely grated zest only 1 free-range egg yolk icing sugar, for dusting salt 3 tbsp olive oil 1 tbsp dried thyme 1 tsp lemon juice 5 oranges, peeled and segmented 200g/7oz carrots, peeled and cut into thick ribbons 1 large cucumber, peeled and cut into thick ribbons 150g/5½oz black olives, pitted and chopped 85g/3oz walnuts, roughly chopped sea salt flakes",african
Lamb and apricot Cape Malay curry ,"1 shoulder of lamb (approximately 1kg/2lb 4oz), diced 1 tsp ground coriander 1 tsp ground cumin 1 tsp garam masala 2 tsp ground turmeric 1 tbsp tamarind paste 2 tsp dried chillies  1 tsp fennel seeds 3 garlic cloves  1 cinnamon stick 3 garlic cloves, finely grated 1 red chilli, finely chopped 1cm/½in piece fresh root ginger, finely grated 2 tbsp sunflower oil 2 onions, thinly sliced 2 tsp dried chilli flakes 1 tsp fennel seeds 3 garlic cloves 1cm/½in piece fresh root ginger, finely grated 2 tbsp tomato purée 400g tin chopped tomatoes large handful dried apricots, roughly chopped 2 tbsp apricot chutney 100g/3½oz desiccated coconut bunch fresh coriander, roughly chopped, to serve 50g/1¾oz fresh coconut, grated, to serve 500g/1lb 2oz dried couscous 1 small cucumber, diced 1 pomegranate, seeds only bunch fresh basil, roughly chopped bunch flatleaf parsley, roughly chopped bunch fresh coriander, roughly chopped handful dried apricots, roughly chopped  4 spring onions, roughly chopped ",african
Goat and tomato bredie,"12 peppercorns 2 cardamom pods 12 cloves 2 tbsp oil  2 large onions, sliced 100g/3½oz piece cooking chorizo 140ml/4½fl oz chicken stock  2 cinnamon sticks 2.5cm/1in root ginger, grated 1 green chilli, chopped 2 goats' leg steaks 680g/1½ lb new potatoes, halved lengthways 110g/4oz tomatoes, quartered  2 tbsp chopped fresh parsley sea salt and freshly ground black pepper",african
Grilled pork chops with blatjang and radishes,"80g/3oz salt 1 tsp coriander seeds 1 tsp fennel seeds 2 star anise 1 tbsp roughly chopped stem ginger 250g/9oz pork chops, trimmed  350g/12oz dried apricots 175g/6oz raisins 7g/¼oz black mustard seeds 7g/¼oz white mustard seeds 250g/9oz caster sugar 375ml/13fl oz cider vinegar 100g/3½oz ground almonds handful dried apricots, finely chopped  1 red chilli, finely chopped handful fresh coriander leaves ½ mooli, thinly sliced ½ black radish, thinly sliced 10 breakfast radishes, thinly sliced olive oil, for drizzling salt and freshly ground black pepper  watercress, to serve",african
Jollof Quorn pilau with salted cucumber ,"30g/1oz ground ginger  30g/1oz garlic granules 45g/1½oz chilli flakes  20g/¾oz dried thyme  20g/¾oz ground cinnamon  15g/½oz ground nutmeg 20g/¾oz ground coriander  1 tbsp salt  1 tbsp ground black pepper  500g/1lb 2oz basmati rice  5 tbsp olive oil  1 onion, diced  2 tsp salt  300g/10½oz Quorn pieces  4 tbsp jollof spice mix (see above) 1 large cucumber, cut in half lengthways and thinly sliced on an angle  1 red onion, thinly sliced  20g/¾oz rock salt ",african
"Beef, black-eyed bean and plantain hotpot ","350g/12oz dried black-eyed beans 900g/2lb sirloin steak, cut into 1cm/½ in cubes 225ml/8fl oz vegetable oil 100ml/3½fl oz red palm oil or vegetable oil 1 large white onion, chopped 4 garlic cloves, finely chopped 4cm/2in piece ginger, grated 1 tsp dried chilli flakes 2 x 400g tins chopped tomatoes 2 tbsp tomato purée 2 beef stock cubes 2 sprigs fresh thyme 1 Scotch bonnet chilli, chopped 3 ripe plantain, peeled and sliced salt and freshly ground black pepper",african
Senegalese couscous with beef and vegetable sauce,"150g/5½oz millet couscous 150g/5½oz corn couscous 200g/7oz fonio (or quinoa) 1 tbsp butter 2 tbsp vegetable oil  750g/1lb 10oz beef (topside), cut into chunks 100ml/3½fl oz tomato purée  100ml/3½fl oz tomato passata   salt and freshly ground black pepper to taste 250g/9oz onions, chopped 100g/3½oz carrots, chopped 100g/3½oz turnips, chopped 100g/3½oz sweet potatoes, chopped ½ leek, chopped 1 celery stick, chopped 1 garlic clove, crushed",african
Bunny chow,"2 tbsp vegetable oil ½ tsp cumin seeds ½ tsp fennel seeds 2.5cm/1in piece of cinnamon stick 2 green cardamom pods 1 star anise 1 bay leaf 1 onion, finely chopped 2 tbsp South African curry powder  2 tomatoes, chopped 1kg/2lb 2oz boneless leg of lamb, cut into 1.5cm/½in dices 1 tbsp finely chopped fresh ginger 1 tbsp finely chopped garlic  10-12 curry leaves 2 large potatoes, cut in cubes the same size as the meat salt 2 tbsp finely chopped coriander leaves 2 tbsp lime juice 2 loaves of crusty white bread, unsliced, each cut across in half in the middle and most of the crumbs removed  coriander cress or sprigs, to garnish",american
Jollof rice with fried plantains,"1 tbsp olive or vegetable oil 2 large onions, sliced 2 x 400g/14oz cans plum tomatoes 1 red pepper, diced 4 tbsp tomato purée ¼ tsp cayenne pepper or chilli powder 1 tsp curry powder 1 bay leaf sprig fresh thyme 1 stock cube 225g/8oz long-grain or basmati rice salt and freshly ground black pepper 2 plantains, cut into slices and deep fried green leaf salad",american
Jollof rice,"400ml/14fl oz passata 3 tbsp tomato purée 2 fresh red Scotch bonnet chillies, seeds removed 2 onions, chopped 2 red peppers, seeds removed and roughly chopped 8 garlic cloves, peeled 3 tbsp fresh rosemary leaves 1 tbsp fresh thyme leaves 2 tsp ground coriander 1½ tsp sweet smoked paprika 50ml/2fl oz olive oil 150g/5½oz cherry tomatoes, halved 800ml/1½ pints chicken stock or vegetable stock 2 bay leaves 500g/1lb 2oz long-grain rice, rinsed  2 tbsp sunflower oil 2 ripe plantains, peeled and thickly sliced small handful of coriander leaves, roughly chopped sea salt and freshly ground black pepper green salad, to serve",american
