,0,1,2
0,Manchurian Green Beans with Tofu ,"1/2 (12- to 16-ounce) package extra-firm tofu 1 1/2 pounds green beans, ends trimmed, cut into 3-inch pieces 2 scallions, thinly sliced (white and green parts; about 1/2 cup) 2 tablespoons finely chopped fresh cilantro 2 medium garlic cloves, minced (about 1 teaspoon) 1 (2-inch) piece finely chopped, peeled fresh ginger (about 3 tablespoons) 2 árbol chiles (or other small dried red chiles, such as Thai or Indian red chiles) 1/4 cup low-sodium tamari (or low-sodium soy sauce) 2 tablespoons fresh lemon juice 2 tablespoons arrowroot powder",chinese
1,11 Unique Types of Asian Vegetables and Produce to Try,"1/2 (12- to 16-ounce) package extra-firm tofu 1 1/2 pounds green beans, ends trimmed, cut into 3-inch pieces 2 scallions, thinly sliced (white and green parts; about 1/2 cup) 2 tablespoons finely chopped fresh cilantro 2 medium garlic cloves, minced (about 1 teaspoon) 1 (2-inch) piece finely chopped, peeled fresh ginger (about 3 tablespoons) 2 árbol chiles (or other small dried red chiles, such as Thai or Indian red chiles) 1/4 cup low-sodium tamari (or low-sodium soy sauce) 2 tablespoons fresh lemon juice 2 tablespoons arrowroot powder",chinese
2,"18 Ways to Make Chicken (Yes, Chicken) Exciting (Yes, Exciting) Again","1/2 (12- to 16-ounce) package extra-firm tofu 1 1/2 pounds green beans, ends trimmed, cut into 3-inch pieces 2 scallions, thinly sliced (white and green parts; about 1/2 cup) 2 tablespoons finely chopped fresh cilantro 2 medium garlic cloves, minced (about 1 teaspoon) 1 (2-inch) piece finely chopped, peeled fresh ginger (about 3 tablespoons) 2 árbol chiles (or other small dried red chiles, such as Thai or Indian red chiles) 1/4 cup low-sodium tamari (or low-sodium soy sauce) 2 tablespoons fresh lemon juice 2 tablespoons arrowroot powder",chinese
3,Takeout at Home,"1/2 (12- to 16-ounce) package extra-firm tofu 1 1/2 pounds green beans, ends trimmed, cut into 3-inch pieces 2 scallions, thinly sliced (white and green parts; about 1/2 cup) 2 tablespoons finely chopped fresh cilantro 2 medium garlic cloves, minced (about 1 teaspoon) 1 (2-inch) piece finely chopped, peeled fresh ginger (about 3 tablespoons) 2 árbol chiles (or other small dried red chiles, such as Thai or Indian red chiles) 1/4 cup low-sodium tamari (or low-sodium soy sauce) 2 tablespoons fresh lemon juice 2 tablespoons arrowroot powder",chinese
4,The Cai Dao Chronicles,"1/2 (12- to 16-ounce) package extra-firm tofu 1 1/2 pounds green beans, ends trimmed, cut into 3-inch pieces 2 scallions, thinly sliced (white and green parts; about 1/2 cup) 2 tablespoons finely chopped fresh cilantro 2 medium garlic cloves, minced (about 1 teaspoon) 1 (2-inch) piece finely chopped, peeled fresh ginger (about 3 tablespoons) 2 árbol chiles (or other small dried red chiles, such as Thai or Indian red chiles) 1/4 cup low-sodium tamari (or low-sodium soy sauce) 2 tablespoons fresh lemon juice 2 tablespoons arrowroot powder",chinese
5,Spicy Dry-Fried Beef ,"12 ounces lean flank steak 3 tablespoons peanut or vegetable oil 2 cups julienned carrots 1 cup julienned celery 3 small dried red chilies, snipped on one end 2 tablespoons soy sauce 1 tablespoon minced ginger 1 teaspoon minced garlic 2 teaspoons sesame oil 2 scallions, finely shredded 1/2 teaspoon salt 1/8 teaspoon freshly ground pepper",chinese
6,Chinese Five-Spice Steak with Oranges and Sesame Broccolini ,"3 small oranges (about 1 lb.) 1 1/2 tsp. Chinese five-spice powder 1 tsp. light brown sugar 2 1/4 tsp. kosher salt, divided 1 hanger steak (about 1 1/4 lb.), cut in half lengthwise, center gristle removed 2 Tbsp. vegetable oil 3 bunches broccolini (about 1 1/2 lb.), trimmed, halved lengthwise if large 2 Tbsp. toasted sesame oil 1/2 tsp. crushed red pepper flakes 1 tsp. toasted sesame seeds, plus more for serving 3 scallions, thinly sliced Flaky sea salt Steamed rice and hot sauce (for serving; optional)",chinese
7,The Most-Loved Recipes of 2017,"3 small oranges (about 1 lb.) 1 1/2 tsp. Chinese five-spice powder 1 tsp. light brown sugar 2 1/4 tsp. kosher salt, divided 1 hanger steak (about 1 1/4 lb.), cut in half lengthwise, center gristle removed 2 Tbsp. vegetable oil 3 bunches broccolini (about 1 1/2 lb.), trimmed, halved lengthwise if large 2 Tbsp. toasted sesame oil 1/2 tsp. crushed red pepper flakes 1 tsp. toasted sesame seeds, plus more for serving 3 scallions, thinly sliced Flaky sea salt Steamed rice and hot sauce (for serving; optional)",chinese
8,This Is The Best Soy Sauce I've Ever Had,"3 small oranges (about 1 lb.) 1 1/2 tsp. Chinese five-spice powder 1 tsp. light brown sugar 2 1/4 tsp. kosher salt, divided 1 hanger steak (about 1 1/4 lb.), cut in half lengthwise, center gristle removed 2 Tbsp. vegetable oil 3 bunches broccolini (about 1 1/2 lb.), trimmed, halved lengthwise if large 2 Tbsp. toasted sesame oil 1/2 tsp. crushed red pepper flakes 1 tsp. toasted sesame seeds, plus more for serving 3 scallions, thinly sliced Flaky sea salt Steamed rice and hot sauce (for serving; optional)",chinese
9,Weekly Meal Plan: Five Fast Dinners That Are Better Than Takeout,"3 small oranges (about 1 lb.) 1 1/2 tsp. Chinese five-spice powder 1 tsp. light brown sugar 2 1/4 tsp. kosher salt, divided 1 hanger steak (about 1 1/4 lb.), cut in half lengthwise, center gristle removed 2 Tbsp. vegetable oil 3 bunches broccolini (about 1 1/2 lb.), trimmed, halved lengthwise if large 2 Tbsp. toasted sesame oil 1/2 tsp. crushed red pepper flakes 1 tsp. toasted sesame seeds, plus more for serving 3 scallions, thinly sliced Flaky sea salt Steamed rice and hot sauce (for serving; optional)",chinese
